@RELATION blobs

@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE target NUMERIC

@DATA
0.9870962020024941,6.6519717885150325,1.0
2.0995824337946165,0.37785062926317814,0.0
3.025012671114086,-1.2743805425937431,2.0
2.5615509841447963,-0.5467613194695827,2.0
2.390783218554736,1.8674394022452514,0.0
2.5793822124512946,-0.056360660727181225,0.0
1.3359327214795147,7.061973065558832,1.0
1.3046833698469984,8.791943895431624,1.0
2.4431483282752886,6.758705875551671,1.0
4.673230373807966,-2.5843483848492514,2.0
-0.4717667356323163,9.255581338356722,1.0
2.788621024353649,0.9987180430992879,0.0
3.3113487213856136,-0.6779205707507161,2.0
4.129627498802814,-1.9742858551598212,2.0
4.527101179883076,-0.5037765782443082,2.0
5.525488048737152,-0.3626700774316586,2.0
2.428448287305015,-0.057038452638905945,0.0
0.013163801175950063,4.927426040542729,1.0
2.7063690100069815,-1.845754432091401,2.0
2.7293468230525653,-0.8288816788416131,2.0
0.16384728697294904,9.31972697680996,1.0
1.8105168089186343,0.031781806143879016,0.0
3.0971871187027804,-1.8602641829666329,2.0
2.01217812065784,-2.368426257337953,2.0
2.0258742389075404,7.405653025519939,1.0
1.1494858513280546,8.714173295345072,1.0
4.467383872719809,-1.226442254024047,0.0
3.5303201185607156,-2.2456621679603743,2.0
2.712399022696681,-2.167290820133756,2.0
3.59878259226105,0.48766796744167473,0.0
2.826131819260658,-1.044102883876675,2.0
2.2887291010284634,-2.5090195270839364,0.0
3.276508776731716,0.8665039546864736,0.0
1.3702955642340924,9.131985697449494,1.0
1.080371454444247,-1.0518650074883171,0.0
4.058215627369254,-0.8171945438763799,2.0
1.48248291219403,5.559859552000833,1.0
2.690044988953603,-0.2141083547332276,0.0
2.986109144432024,-3.2031382191166964,0.0
1.3363111289232603,0.725512635784355,0.0
1.8800388031745416,-1.7787165325597118,2.0
4.071000102369832,-2.101468664796282,2.0
-0.4162631689094909,7.396588376696924,1.0
2.5485848131708124,7.654076541771907,1.0
3.713847645251275,-0.6746453064542606,2.0
0.16511591429438321,6.418007097245373,1.0
2.4262284866675095,6.5407064728910225,1.0
3.8739152083429254,-0.21265075553136484,0.0
2.7663480185257487,-1.5564234450493115,0.0
1.4197473310226658,-0.7005378288747581,2.0
3.251541714077747,-0.28552258647635953,0.0
3.199889003057996,0.023372078950367997,0.0
1.5246888638734855,5.653481474206256,1.0
3.557025947217751,-0.3454831689448832,2.0
1.6429872109222665,7.611400345072424,1.0
1.3294726725035362,-1.4979918265807521,0.0
2.406622427565694,-2.031297712969973,0.0
3.54065518355382,-1.081022993409232,0.0
4.085169239794796,0.08763425900743438,0.0
2.530295002419758,0.06609056204048475,0.0
2.0580797688344,-2.153524471552086,2.0
1.2549862748635285,-1.1008021753509505,0.0
3.863694691785376,-2.4433797109257327,2.0
0.060457160293618584,8.36921384877989,1.0
3.968864804481078,-2.4492775909083218,2.0
1.3707546142982907,6.238220073304716,1.0
3.1313146227490507,0.48466364316412613,0.0
3.1648031445469833,-3.0064229805088485,2.0
0.4416911990860384,9.667151380365656,1.0
1.706278720729692,7.955204572153307,1.0
3.872128593525894,0.13154935527513917,0.0
2.871307246245877,-0.46941885128239613,2.0
4.067275179143833,1.9746121238239525,0.0
3.761214909804113,-1.0389099764902914,0.0
5.243451689198841,1.1756325429871428,0.0
3.6665807454309,-2.0149738916050883,2.0
2.2795438069278364,-1.876677764627292,2.0
2.6451887604731037,-0.8240765877452801,0.0
3.3187443224614372,-1.51940754497555,2.0
2.5016116714865526,-1.4478770392116873,2.0
0.9093431417369409,6.3768823639273515,1.0
0.8414578276708278,8.558959601524762,1.0
4.832085602750368,-0.3550027110055396,0.0
1.4349252374290427,7.3440016145526155,1.0
3.834539206917284,0.37782670854584377,0.0
0.23525270978344492,6.997853786044785,1.0
2.391396110997123,-2.039874603447618,0.0
1.3106556590475718,7.008749392847879,1.0
2.6265415648454664,7.903055732379076,1.0
1.4844613966468259,7.724819194212447,1.0
1.2729635200247376,7.0581488854421615,1.0
4.091220389185775,-0.13416461185402628,2.0
2.707634405727103,7.616007740051759,1.0
4.870206353176651,-1.4274922269246464,2.0
3.7287293419421736,-1.5104783702277929,2.0
1.5555356585867919,-1.8678194252839684,2.0
1.9875098942531442,7.166519215026892,1.0
5.191038585017473,-1.953791447217447,2.0
2.025872481469229,-0.9164496930882163,0.0
3.0743132903116885,-1.6617376602544853,2.0
0.6465767879670412,5.853108616347242,1.0
0.10182604309189824,7.508153426345242,1.0
3.1659644661408604,1.930268157742265,0.0
4.1526001949838784,-1.9993828392679895,2.0
